x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.6478,0.0351,0.0363,0.0476474885794,[[-0.64789435]],[[ 0.0352114]],[[ 0.03632985]],[[ -4.71221814e-05]],[[ 0.00250427]],[[-0.00065149]],[[ 0.02926153]],[[ 0.08030559]],[[ 6.46560632]],[[ 0.56656583]],[[-0.02926153]],[[ 78.21803673]],[[ 0.6465868]],[[-0.054152]],[[ 0.36367015]]
-0.6478,0.0351,0.0363,0.0476474885794,[[-0.64786678]],[[ 0.03519609]],[[ 0.03631643]],[[  4.26723414e-05]],[[ 0.00237506]],[[-0.00067359]],[[ 0.03259042]],[[ 0.0898896]],[[ 6.46255854]],[[ 0.58660326]],[[-0.03259042]],[[ 78.21987852]],[[ 0.64637589]],[[-0.05628792]],[[ 0.36368357]]
-0.6478,0.0351,0.0363,0.0476474885794,[[-0.64784679]],[[ 0.03518451]],[[ 0.03630684]],[[ 0.0001034]],[[ 0.00226538]],[[-0.00068246]],[[ 0.03549633]],[[ 0.09726088]],[[ 6.46006302]],[[ 0.60413975]],[[-0.03549633]],[[ 78.22082857]],[[ 0.64619003]],[[-0.05815369]],[[ 0.36369316]]
-0.6415,0.0334,0.0508,0.0476474885794,[[-0.64597967]],[[ 0.03467573]],[[ 0.04056399]],[[ 0.00572248]],[[ 0.00066516]],[[ 0.01215708]],[[ 0.03803362]],[[ 0.10282775]],[[ 6.38450351]],[[ 0.59660766]],[[-0.03803362]],[[ 77.32747523]],[[ 0.64419398]],[[-0.05921368]],[[ 0.35943601]]
-0.6415,0.0334,0.0508,0.0476474885794,[[-0.64462528]],[[ 0.03430624]],[[ 0.04365228]],[[ 0.00951536]],[[-0.00043467]],[[ 0.02083167]],[[ 0.04024923]],[[ 0.10692292]],[[ 6.33232612]],[[ 0.59399925]],[[-0.04024923]],[[ 76.71330772]],[[ 0.64272277]],[[-0.06021712]],[[ 0.35634772]]
-0.6415,0.0334,0.0508,0.0476474885794,[[-0.64364348]],[[ 0.03403799]],[[ 0.04589113]],[[ 0.01203494]],[[-0.0011846]],[[ 0.02660186]],[[ 0.04218371]],[[ 0.10981809]],[[ 6.29661194]],[[ 0.59459855]],[[-0.04218371]],[[ 76.29554479]],[[ 0.64163547]],[[-0.06115093]],[[ 0.35410887]]
-0.6415,0.0334,0.0508,0.0476474885794,[[-0.64293249]],[[ 0.03384334]],[[ 0.04751261]],[[ 0.01366748]],[[-0.00168986]],[[ 0.03034836]],[[ 0.04387221]],[[ 0.11173568]],[[ 6.27249313]],[[ 0.59720937]],[[-0.04387221]],[[ 76.01590645]],[[ 0.64082953]],[[-0.0620086]],[[ 0.35248739]]
-0.6415,0.0334,0.0508,0.0476474885794,[[-0.64241831]],[[ 0.03370221]],[[ 0.04868537]],[[ 0.01468313]],[[-0.00202411]],[[ 0.03268712]],[[ 0.04534524]],[[ 0.11285807]],[[ 6.25653966]],[[ 0.60100595]],[[-0.04534524]],[[ 75.83331432]],[[ 0.64023025]],[[-0.0627882]],[[ 0.35131463]]
-0.6348,0.037,0.0642,0.0478220215046,[[-0.6400993]],[[ 0.03464662]],[[ 0.05342778]],[[ 0.02037602]],[[ 0.00050406]],[[ 0.04425942]],[[ 0.04665245]],[[ 0.11340602]],[[ 6.17409729]],[[ 0.64013561]],[[-0.04665245]],[[ 74.98286148]],[[ 0.63778709]],[[-0.06446029]],[[ 0.34657222]]
-0.6348,0.037,0.0642,0.0478220215046,[[-0.63841695]],[[ 0.03533309]],[[ 0.05686775]],[[ 0.02415336]],[[ 0.00224489]],[[ 0.05191682]],[[ 0.04779117]],[[ 0.11341993]],[[ 6.11767021]],[[ 0.66880275]],[[-0.04779117]],[[ 74.40502101]],[[ 0.63600005]],[[-0.06579182]],[[ 0.34313225]]
-0.6348,0.037,0.0642,0.0478220215046,[[-0.63719775]],[[ 0.03583185]],[[ 0.05936029]],[[ 0.02658961]],[[ 0.00343181]],[[ 0.05683425]],[[ 0.04878187]],[[ 0.11300319]],[[ 6.07967158]],[[ 0.68991741]],[[-0.04878187]],[[ 74.01977037]],[[ 0.63469248]],[[-0.06686059]],[[ 0.34063971]]
-0.6348,0.037,0.0642,0.0478220215046,[[-0.63631544]],[[ 0.03619401]],[[ 0.06116368]],[[ 0.02808881]],[[ 0.00422916]],[[ 0.05983803]],[[ 0.04964245]],[[ 0.11224107]],[[ 6.05471452]],[[ 0.70554831]],[[-0.04964245]],[[ 73.77040066]],[[ 0.63373552]],[[-0.0677247]],[[ 0.33883632]]
-0.6348,0.037,0.0642,0.0478220215046,[[-0.63567817]],[[ 0.03645676]],[[ 0.06246582]],[[ 0.02893528]],[[ 0.00475279]],[[ 0.06150961]],[[ 0.05038856]],[[ 0.11120394]],[[ 6.03897182]],[[ 0.7171721]],[[-0.05038856]],[[ 73.61669983]],[[ 0.63303512]],[[-0.06842784]],[[ 0.33753418]]
-0.6348,0.037,0.0642,0.0478220215046,[[-0.63521911]],[[ 0.03664716]],[[ 0.06340345]],[[ 0.02932916]],[[ 0.0050844]],[[ 0.06225821]],[[ 0.05103391]],[[ 0.1099499]],[[ 6.0297231]],[[ 0.72584737]],[[-0.05103391]],[[ 73.53014212]],[[ 0.63252265]],[[-0.06900309]],[[ 0.33659655]]
-0.6348,0.037,0.0642,0.0478220215046,[[-0.63488961]],[[ 0.03678491]],[[ 0.0640761]],[[ 0.02941133]],[[ 0.00528161]],[[ 0.06237182]],[[ 0.05159055]],[[ 0.10852694]],[[ 6.02503422]],[[ 0.73233659]],[[-0.05159055]],[[ 73.4904887]],[[ 0.63214798]],[[-0.06947575]],[[ 0.3359239]]
-0.6321,0.045,0.062,0.0747000919854,[[-0.63387835]],[[ 0.03918339]],[[ 0.06392395]],[[ 0.03100315]],[[ 0.01048813]],[[ 0.06064967]],[[ 0.05542905]],[[ 0.11557053]],[[ 5.99197471]],[[ 0.8299492]],[[-0.05542905]],[[ 73.58937012]],[[ 0.63073405]],[[-0.0742405]],[[ 0.33607605]]
-0.6321,0.045,0.062,0.0747000919854,[[-0.63314693]],[[ 0.04092747]],[[ 0.06380424]],[[ 0.03191852]],[[ 0.01404893]],[[ 0.05907214]],[[ 0.05883377]],[[ 0.12118886]],[[ 5.96955552]],[[ 0.90233408]],[[-0.05883377]],[[ 73.67896465]],[[ 0.62964492]],[[-0.07808559]],[[ 0.33619576]]
-0.6321,0.045,0.062,0.0747000919854,[[-0.63261916]],[[ 0.04219494]],[[ 0.06370853]],[[ 0.03236216]],[[ 0.01644596]],[[ 0.05761214]],[[ 0.06185304]],[[ 0.12559988]],[[ 5.95484325]],[[ 0.95632817]],[[-0.06185304]],[[ 73.76113034]],[[ 0.62880119]],[[-0.08121873]],[[ 0.33629147]]
-0.6321,0.045,0.062,0.0747000919854,[[-0.63223956]],[[ 0.04311529]],[[ 0.06363065]],[[ 0.03247879]],[[ 0.01802087]],[[ 0.05624952]],[[ 0.06452961]],[[ 0.12898853]],[[ 5.94570133]],[[ 0.99684397]],[[-0.06452961]],[[ 73.83724273]],[[ 0.62814339]],[[-0.08379542]],[[ 0.33636935]]
-0.6321,0.045,0.062,0.0747000919854,[[-0.63196773]],[[ 0.04378285]],[[ 0.06356609]],[[ 0.03237065]],[[ 0.01901595]],[[ 0.05496918]],[[ 0.06690132]],[[ 0.13151198]],[[ 5.9405756]],[[ 1.02742231]],[[-0.06690132]],[[ 73.90832939]],[[ 0.62762704]],[[-0.08593284]],[[ 0.33643391]]
-0.614,0.048,0.0969,0.0747000919854,[[-0.62660506]],[[ 0.04512308]],[[ 0.07347865]],[[ 0.04245784]],[[ 0.02131821]],[[ 0.0737121]],[[ 0.0690017]],[[ 0.1333039]],[[ 5.78176212]],[[ 1.06558349]],[[-0.0690017]],[[ 72.41932637]],[[ 0.62200284]],[[-0.08821821]],[[ 0.32652135]]
-0.614,0.048,0.0969,0.0747000919854,[[-0.62270566]],[[ 0.04609617]],[[ 0.08068707]],[[ 0.04928033]],[[ 0.02281021]],[[ 0.08641791]],[[ 0.07086052]],[[ 0.13447815]],[[ 5.67107632]],[[ 1.0933267]],[[-0.07086052]],[[ 71.38549706]],[[ 0.61787928]],[[-0.09006881]],[[ 0.31931293]]
