x,y,z,yaw,vzcam,xk,yk,zk,rollk,pitchk,yawk,vxk,vyk,vzk,vrollk,vpitchk,vyawk,pitch_con,roll_con,yaw_con,thrust_cam,xd,yd,zd,rolld,pitchd,yawd
-0.0309,-0.0004,0.0402,0.00750491578358,-0.0039473573257,[[-0.03030231]],[[-0.001156]],[[ 0.04028749]],[[ 3.96810005]],[[ 4.02852632]],[[ 0.03430655]],[[-0.00247435]],[[ 0.01347605]],[[-0.00172521]],[[ 13.9767485]],[[ 13.55579172]],[[-0.1455604]],[[ 0.77231193]],[[ 0.33593899]],[[ 1.05559051]],[[ 70.01725214]],[[ 0.03032413]],[[ 0.00011596]],[[ 0.35971251]],3.98322629929,4.07388496399,-158.86567688
-0.0299,-0.0001,0.0435,0.0371755130675,0.117857656676,[[-0.03024485]],[[-0.00084391]],[[ 0.04089195]],[[ 4.02924452]],[[ 4.10718703]],[[ 0.03351585]],[[-0.00189512]],[[ 0.01472557]],[[ 0.00265546]],[[ 13.71907525]],[[ 13.36932101]],[[-0.14116203]],[[ 0.76625502]],[[ 0.37012577]],[[ 1.03073949]],[[ 69.9867227]],[[ 0.03025614]],[[-0.00017006]],[[ 0.35910805]],3.98322629929,4.07388496399,-158.86567688
-0.0299,-0.0001,0.0435,0.0371755130675,0.117857656676,[[-0.03019531]],[[-0.00058431]],[[ 0.04140455]],[[ 3.93725991]],[[ 4.72882396]],[[ 0.03286021]],[[-0.00142588]],[[ 0.01549514]],[[ 0.00598511]],[[ 12.98976482]],[[ 14.92211636]],[[-0.13634429]],[[ 0.76137351]],[[ 0.38986646]],[[ 1.00954789]],[[ 69.97007444]],[[ 0.0301982]],[[-0.00040805]],[[ 0.35859545]],3.80290532112,5.01488208771,-159.446548462
-0.0299,-0.0001,0.0435,0.0371755130675,0.117857656676,[[-0.03015244]],[[-0.00036858]],[[ 0.04184004]],[[ 3.78827644]],[[ 5.09552296]],[[ 0.03231802]],[[-0.0010442]],[[ 0.01590123]],[[ 0.00849491]],[[ 12.12712905]],[[ 15.59481934]],[[-0.13129362]],[[ 0.75741597]],[[ 0.40048957]],[[ 0.99148985]],[[ 69.95752544]],[[ 0.0301486]],[[-0.00060591]],[[ 0.35815996]],3.62453317642,5.22321367264,-159.603149414
-0.0299,-0.0001,0.0435,0.0371755130675,0.117857656676,[[-0.03011524]],[[-0.00018971]],[[ 0.04221041]],[[ 3.5258198]],[[ 5.39509535]],[[ 0.03187136]],[[-0.00073286]],[[ 0.016031]],[[ 0.01036024]],[[ 10.97232045]],[[ 16.02704866]],[[-0.12614376]],[[ 0.75419395]],[[ 0.40413086]],[[ 0.97611917]],[[ 69.94819878]],[[ 0.03010599]],[[-0.00077003]],[[ 0.35778959]],3.30019497871,5.47954368591,-159.850509644
-0.0299,-0.0001,0.0435,0.0371755130675,0.117857656676,[[-0.03008289]],[[ -4.19911046e-05]],[[ 0.04252546]],[[ 3.29428153]],[[ 5.58561935]],[[ 0.0315054]],[[-0.00047852]],[[ 0.01595032]],[[ 0.01171554]],[[ 9.97221921]],[[ 16.11570963]],[[-0.12098953]],[[ 0.75114182]],[[ 0.40242038]],[[ 0.96305793]],[[ 69.94142231]],[[ 0.03006928]],[[-0.00090565]],[[ 0.35747454]],3.09335708618,5.60343170166,-160.027420044
-0.0325,-0.0024,0.0439,0.0364773813667,0.00740742101266,[[-0.03051151]],[[-0.00032481]],[[ 0.04286354]],[[ 3.00418256]],[[ 5.72181861]],[[ 0.03111523]],[[-0.00314953]],[[ 0.01316285]],[[ 0.01310776]],[[ 8.85878807]],[[ 16.04442353]],[[-0.11641394]],[[ 0.78219067]],[[ 0.33336833]],[[ 0.94959256]],[[ 69.93446122]],[[ 0.03050685]],[[-0.00062457]],[[ 0.35713646]],2.77437782288,5.7071056366,-160.29675293
-0.0325,-0.0024,0.0439,0.0364773813667,0.00740742101266,[[-0.03088238]],[[-0.00057588]],[[ 0.04315162]],[[ 2.77425404]],[[ 5.78855085]],[[ 0.03079312]],[[-0.00525703]],[[ 0.01078631]],[[ 0.01408277]],[[ 7.97138047]],[[ 15.78333577]],[[-0.1118488]],[[ 0.80795556]],[[ 0.27457635]],[[ 0.9380823]],[[ 69.92958613]],[[ 0.03088547]],[[-0.00037521]],[[ 0.35684838]],2.58626079559,5.7332406044,-160.458984375
-0.0325,-0.0024,0.0439,0.0364773813667,0.00740742101266,[[-0.03120322]],[[-0.00079918]],[[ 0.04339659]],[[ 2.53398314]],[[ 5.80191749]],[[ 0.03052934]],[[-0.00690198]],[[ 0.00875569]],[[ 0.01472134]],[[ 7.1011214]],[[ 15.39043113]],[[-0.10734112]],[[ 0.82940969]],[[ 0.22439395]],[[ 0.92827161]],[[ 69.92639329]],[[ 0.03121307]],[[-0.00015366]],[[ 0.35660341]],2.34491086006,5.71655511856,-160.6953125
-0.0325,-0.0024,0.0439,0.0364773813667,0.00740742101266,[[-0.03148053]],[[-0.00099806]],[[ 0.04360423]],[[ 2.37408774]],[[ 5.795994]],[[ 0.0303157]],[[-0.00816541]],[[ 0.00701826]],[[ 0.01508789]],[[ 6.48763905]],[[ 14.96579395]],[[-0.10292353]],[[ 0.84706774]],[[ 0.18048003]],[[ 0.91994274]],[[ 69.92456057]],[[ 0.03149632]],[[  4.33911046e-05]],[[ 0.35639577]],2.23750472069,5.70145463943,-160.86529541
-0.0325,-0.0024,0.0439,0.0364773813667,0.00740742101266,[[-0.03171984]],[[-0.00117536]],[[ 0.04377947]],[[ 2.28342784]],[[ 5.76182824]],[[ 0.03014536]],[[-0.00911294]],[[ 0.00553088]],[[ 0.01523428]],[[ 6.08367082]],[[ 14.48835596]],[[-0.09861797]],[[ 0.86140159]],[[ 0.13961126]],[[ 0.91290981]],[[ 69.92382862]],[[ 0.03174086]],[[ 0.00021876]],[[ 0.35622053]],2.19133424759,5.65298557281,-161.30065918
-0.0325,-0.0024,0.0439,0.0364773813667,0.00740742101266,[[-0.03192589]],[[-0.00133351]],[[ 0.04392651]],[[ 2.31033843]],[[ 5.68711801]],[[ 0.03001249]],[[-0.00979819]],[[ 0.00425794]],[[ 0.01520264]],[[ 5.99747449]],[[ 13.93043242]],[[-0.0944385]],[[ 0.87283861]],[[ 0.10438358]],[[ 0.9070139]],[[ 69.92398682]],[[ 0.03195152]],[[ 0.00037488]],[[ 0.35607349]],2.29023146629,5.55697154999,-161.56980896
-0.0325,-0.0024,0.0439,0.0364773813667,0.00740742101266,[[-0.03210272]],[[-0.0014746]],[[ 0.04404897]],[[ 2.41305056]],[[ 5.58394384]],[[ 0.02991222]],[[-0.01026535]],[[ 0.00316979]],[[ 0.01502747]],[[ 6.10376102]],[[ 13.32739604]],[[-0.09039337]],[[ 0.88176257]],[[ 0.07404229]],[[ 0.90211877]],[[ 69.92486265]],[[ 0.03213246]],[[ 0.00051382]],[[ 0.35595103]],2.43840265274,5.44010400772,-161.741714478
