x,y,z,yaw,vzcam,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.2898,-0.0989,0.0466,-0.150796447372,0.182142875754,[[-0.28972367]],[[-0.09882425]],[[ 0.04482686]],[[ 0.01411302]],[[-0.00201155]],[[ 0.04201251]],[[-0.14422148]],[[-0.02828124]],[[ 2.5825696]],[[-1.39400258]],0,[[ 74.81778097]],[[ 0.27251256]],[[ 0.13943794]],[[ 0.35517314]]
-0.2898,-0.0989,0.0466,-0.150796447372,0.182142875754,[[-0.28964649]],[[-0.09886073]],[[ 0.04546862]],[[ 0.01392046]],[[-0.00206082]],[[ 0.04331276]],[[-0.14538502]],[[-0.03141471]],[[ 2.58196326]],[[-1.39802205]],0,[[ 74.69467561]],[[ 0.27226849]],[[ 0.13977983]],[[ 0.35453138]]
-0.2898,-0.0989,0.0466,-0.150796447372,0.182142875754,[[-0.28959314]],[[-0.09888681]],[[ 0.04601559]],[[ 0.01366941]],[[-0.00207682]],[[ 0.04397816]],[[-0.14640408]],[[-0.03384602]],[[ 2.58243169]],[[-1.40135734]],0,[[ 74.62074916]],[[ 0.27206932]],[[ 0.14007524]],[[ 0.35398441]]
-0.2809,-0.1006,0.0756,-0.15742869853,0.337209436944,[[-0.28695275]],[[-0.0994028]],[[ 0.05118803]],[[ 0.0207842]],[[-0.00348409]],[[ 0.07155557]],[[-0.14820347]],[[-0.03873434]],[[ 2.48058361]],[[-1.41061895]],0,[[ 72.4317087]],[[ 0.26912919]],[[ 0.14068502]],[[ 0.34881197]]
-0.2809,-0.1006,0.0756,-0.15742869853,0.337209436944,[[-0.28503851]],[[-0.09977698]],[[ 0.05573828]],[[ 0.02550069]],[[-0.00442205]],[[ 0.09384558]],[[-0.14978588]],[[-0.04261639]],[[ 2.41082545]],[[-1.41762223]],0,[[ 70.64389542]],[[ 0.26695759]],[[ 0.14119506]],[[ 0.34426172]]
-0.2809,-0.1006,0.0756,-0.15742869853,0.337209436944,[[-0.28365216]],[[-0.10004808]],[[ 0.05973003]],[[ 0.02854454]],[[-0.00503246]],[[ 0.11155846]],[[-0.15117775]],[[-0.04566385]],[[ 2.36372559]],[[-1.42301898]],0,[[ 69.20440608]],[[ 0.26534944]],[[ 0.14162571]],[[ 0.34026997]]
-0.2809,-0.1006,0.0756,-0.15742869853,0.337209436944,[[-0.28264957]],[[-0.10024424]],[[ 0.06322031]],[[ 0.03042406]],[[-0.00541465]],[[ 0.12531314]],[[-0.15240208]],[[-0.04801883]],[[ 2.33261659]],[[-1.42725284]],0,[[ 68.06706474]],[[ 0.26415509]],[[ 0.14199215]],[[ 0.33677969]]
-0.2809,-0.1006,0.0756,-0.15742869853,0.337209436944,[[-0.28192593]],[[-0.1003859]],[[ 0.06626047]],[[ 0.03149548]],[[-0.00563824]],[[ 0.13565121]],[[-0.15347892]],[[-0.04979922]],[[ 2.31278031]],[[-1.43062929]],0,[[ 67.1913921]],[[ 0.26326525]],[[ 0.1423059]],[[ 0.33373953]]
-0.2809,-0.1006,0.0756,-0.15742869853,0.337209436944,[[-0.28140505]],[[-0.10048797]],[[ 0.06889685]],[[ 0.03200864]],[[-0.00575207]],[[ 0.14304828]],[[-0.15442583]],[[-0.05110299]],[[ 2.30087517]],[[-1.43336141]],0,[[ 66.54177813]],[[ 0.26259999]],[[ 0.14257586]],[[ 0.33110315]]
-0.266,-0.1046,0.1315,-0.155683369278,0.834329450783,[[-0.27672323]],[[-0.10171783]],[[ 0.08012021]],[[ 0.04261695]],[[-0.00860336]],[[ 0.19960523]],[[-0.15503311]],[[-0.05137522]],[[ 2.14263507]],[[-1.45147047]],0,[[ 62.02162373]],[[ 0.25769779]],[[ 0.14322748]],[[ 0.31987979]]
-0.266,-0.1046,0.1315,-0.155683369278,0.834329450783,[[-0.27332462]],[[-0.10261102]],[[ 0.0900121]],[[ 0.04967715]],[[-0.01052054]],[[ 0.24518098]],[[-0.15556431]],[[-0.05142333]],[[ 2.03418421]],[[-1.46416816]],0,60,[[ 0.25412571]],[[ 0.14372018]],[[ 0.3099879]]
-0.266,-0.1046,0.1315,-0.155683369278,0.834329450783,[[-0.27085994]],[[-0.10325916]],[[ 0.09869886]],[[ 0.05424456]],[[-0.01178067]],[[ 0.28115519]],[[-0.15602841]],[[-0.05128861]],[[ 1.96107252]],[[-1.47303539]],0,60,[[ 0.25152353]],[[ 0.14409537]],[[ 0.30130114]]
-0.266,-0.1046,0.1315,-0.155683369278,0.834329450783,[[-0.26907497]],[[-0.10372894]],[[ 0.10629637]],[[ 0.05706401]],[[-0.01257934]],[[ 0.30876079]],[[-0.15643327]],[[-0.05100545]],[[ 1.91301774]],[[-1.4791854]],0,60,[[ 0.24962881]],[[ 0.14438315]],[[ 0.29370363]]
-0.266,-0.1046,0.1315,-0.155683369278,0.834329450783,[[-0.26778464]],[[-0.10406891]],[[ 0.11291095]],[[ 0.05866147]],[[-0.01305473]],[[ 0.32910024]],[[-0.15678582]],[[-0.05060251]],[[ 1.88269939]],[[-1.48340415]],0,60,[[ 0.2482503]],[[ 0.14460546]],[[ 0.28708905]]
-0.266,-0.1046,0.1315,-0.155683369278,0.834329450783,[[-0.26685421]],[[-0.10431441]],[[ 0.11864024]],[[ 0.05940834]],[[-0.01330444]],[[ 0.34315938]],[[-0.15709216]],[[-0.05010365]],[[ 1.86490362]],[[-1.48624779]],0,60,[[ 0.24724861]],[[ 0.14477842]],[[ 0.28135976]]
-0.2597,-0.1221,0.1329,-0.189019157991,0.0237288074225,[[-0.26437989]],[[-0.10950693]],[[ 0.12379688]],[[ 0.06340749]],[[-0.0240657]],[[ 0.35310511]],[[-0.16146907]],[[-0.05956293]],[[ 1.76883937]],[[-1.64145144]],0,60,[[ 0.24333564]],[[ 0.1505864]],[[ 0.27620312]]
-0.2597,-0.1221,0.1329,-0.189019157991,0.0237288074225,[[-0.26258767]],[[-0.11328357]],[[ 0.12821529]],[[ 0.0658205]],[[-0.03143293]],[[ 0.35822089]],[[-0.16536817]],[[-0.06744309]],[[ 1.70260257]],[[-1.75133176]],0,60,[[ 0.24035717]],[[ 0.15496413]],[[ 0.27178471]]
-0.2597,-0.1221,0.1329,-0.189019157991,0.0237288074225,[[-0.26129202]],[[-0.1160288]],[[ 0.13197302]],[[ 0.06712205]],[[-0.03639642]],[[ 0.35923278]],[[-0.16884156]],[[-0.07397194]],[[ 1.65795279]],[[-1.82886166]],0,60,[[ 0.23807894]],[[ 0.15828652]],[[ 0.26802698]]
-0.2597,-0.1221,0.1329,-0.189019157991,0.0237288074225,[[-0.26035783]],[[-0.1180227]],[[ 0.13514112]],[[ 0.06764848]],[[-0.03965928]],[[ 0.35678709]],[[-0.17193549]],[[-0.0793441]],[[ 1.6289019]],[[-1.88327599]],0,60,[[ 0.23632652]],[[ 0.16082703]],[[ 0.26485888]]
-0.2597,-0.1221,0.1329,-0.189019157991,0.0237288074225,[[-0.25968667]],[[-0.11946931]],[[ 0.13778457]],[[ 0.06763803]],[[-0.04172091]],[[ 0.35145783]],[[-0.17469098]],[[-0.08372604]],[[ 1.61110233]],[[-1.92115741]],0,60,[[ 0.23497009]],[[ 0.16278556]],[[ 0.26221543]]
-0.2251,-0.1346,0.2214,-0.177674517853,1.73529009396,[[-0.24934663]],[[-0.12407953]],[[ 0.15404409]],[[ 0.08625472]],[[-0.04979858]],[[ 0.42493376]],[[-0.17578537]],[[-0.0842883]],[[ 1.30170519]],[[-1.99720311]],0,60,[[ 0.22380486]],[[ 0.1657735]],[[ 0.24595591]]
