x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.085,0.007,0.0323,0.00244346095279,[[-0.08518601]],[[ 0.00648918]],[[ 0.03218049]],[[-0.001502]],[[ 0.00063133]],[[ 0.00529762]],[[ 0.]],[[ 0.]],[[ 0.86688006]],[[ 0.07120519]],[[-0.]],80,[[ 0.08518601]],[[-0.00648918]],[[ 0.36781951]]
-0.085,0.007,0.0323,0.00244346095279,[[-0.08514119]],[[ 0.00664566]],[[ 0.03224466]],[[-0.00129739]],[[ 0.00114482]],[[ 0.00536495]],[[ 0.]],[[ 0.]],[[ 0.86438583]],[[ 0.07790481]],[[-0.]],80,[[ 0.08514119]],[[-0.00664566]],[[ 0.36775534]]
-0.085,0.007,0.0323,0.00244346095279,[[-0.08510843]],[[ 0.00675883]],[[ 0.03229859]],[[-0.00114613]],[[ 0.00148125]],[[ 0.00536663]],[[ 0.]],[[ 0.]],[[ 0.86254564]],[[ 0.08240074]],[[-0.]],80,[[ 0.08510843]],[[-0.00675883]],[[ 0.36770141]]
-0.085,0.007,0.0323,0.00244346095279,[[-0.08508444]],[[ 0.00684058]],[[ 0.0323436]],[[-0.00103259]],[[ 0.00169562]],[[ 0.00531531]],[[ 0.]],[[ 0.]],[[ 0.86117025]],[[ 0.08536198]],[[-0.]],80,[[ 0.08508444]],[[-0.00684058]],[[ 0.3676564]]
-0.0852,0.0101,0.0349,0.00244346095279,[[-0.0851258]],[[ 0.00781364]],[[ 0.03280902]],[[-0.0011289]],[[ 0.00466317]],[[ 0.00774507]],[[ 0.]],[[ 0.]],[[ 0.86254695]],[[ 0.12476809]],[[-0.]],80,[[ 0.0851258]],[[-0.00781364]],[[ 0.36719098]]
-0.0852,0.0101,0.0349,0.00244346095279,[[-0.08515559]],[[ 0.0085189]],[[ 0.0332163]],[[-0.00118461]],[[ 0.00664641]],[[ 0.00968008]],[[ 0.]],[[ 0.]],[[ 0.86340196]],[[ 0.15165318]],[[-0.]],80,[[ 0.08515559]],[[-0.0085189]],[[ 0.3667837]]
-0.0852,0.0101,0.0349,0.00244346095279,[[-0.08517698]],[[ 0.00902963]],[[ 0.03357183]],[[-0.00121254]],[[ 0.00794543]],[[ 0.01119231]],[[ 0.]],[[ 0.]],[[ 0.86389527]],[[ 0.1697506]],[[-0.]],80,[[ 0.08517698]],[[-0.00902963]],[[ 0.36642817]]
-0.0852,0.0101,0.0349,0.00244346095279,[[-0.0851923]],[[ 0.00939904]],[[ 0.03388125]],[[-0.0012216]],[[ 0.00876938]],[[ 0.01234316]],[[ 0.]],[[ 0.]],[[ 0.86413894]],[[ 0.18168419]],[[-0.]],80,[[ 0.0851923]],[[-0.00939904]],[[ 0.36611875]]
-0.0852,0.0101,0.0349,0.00244346095279,[[-0.0852032]],[[ 0.00966577]],[[ 0.03414957]],[[-0.00121796]],[[ 0.00926425]],[[ 0.01318534]],[[ 0.]],[[ 0.]],[[ 0.86421151]],[[ 0.18930024]],[[-0.]],80,[[ 0.0852032]],[[-0.00966577]],[[ 0.36585043]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.0852109]],[[ 0.00985793]],[[ 0.03438123]],[[-0.00120591]],[[ 0.00953198]],[[ 0.01376435]],[[ 0.]],[[ 0.]],[[ 0.86416801]],[[ 0.19389908]],[[-0.]],80,[[ 0.0852109]],[[-0.00985793]],[[ 0.36561877]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.08521628]],[[ 0.00999591]],[[ 0.03458021]],[[-0.00118842]],[[ 0.0096438]],[[ 0.01411966]],[[ 0.]],[[ 0.]],[[ 0.86404696]],[[ 0.19639713]],[[-0.]],80,[[ 0.08521628]],[[-0.00999591]],[[ 0.36541979]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.08521999]],[[ 0.01009457]],[[ 0.03475009]],[[-0.00116754]],[[ 0.00964947]],[[ 0.01428559]],[[ 0.]],[[ 0.]],[[ 0.86387528]],[[ 0.19744042]],[[-0.]],80,[[ 0.08521999]],[[-0.01009457]],[[ 0.36524991]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.0852225]],[[ 0.01016469]],[[ 0.03489408]],[[-0.00114468]],[[ 0.00958375]],[[ 0.01429212]],[[ 0.]],[[ 0.]],[[ 0.86367175]],[[ 0.19748433]],[[-0.]],80,[[ 0.0852225]],[[-0.01016469]],[[ 0.36510592]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.08522413]],[[ 0.01021411]],[[ 0.03501507]],[[-0.00112081]],[[ 0.00947086]],[[ 0.01416546]],[[ 0.]],[[ 0.]],[[ 0.86344938]],[[ 0.19684968]],[[-0.]],80,[[ 0.08522413]],[[-0.01021411]],[[ 0.36498493]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.08522514]],[[ 0.01024854]],[[ 0.03511568]],[[-0.00109658]],[[ 0.00932768]],[[ 0.01392853]],[[ 0.]],[[ 0.]],[[ 0.86321717]],[[ 0.1957622]],[[-0.]],80,[[ 0.08522514]],[[-0.01024854]],[[ 0.36488432]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.0852257]],[[ 0.01027212]],[[ 0.03519827]],[[-0.00107243]],[[ 0.00916592]],[[ 0.01360141]],[[ 0.]],[[ 0.]],[[ 0.86298128]],[[ 0.19438041]],[[-0.]],80,[[ 0.0852257]],[[-0.01027212]],[[ 0.36480173]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.08522594]],[[ 0.01028787]],[[ 0.03526498]],[[-0.00104865]],[[ 0.00899366]],[[ 0.01320165]],[[ 0.]],[[ 0.]],[[ 0.86274587]],[[ 0.19281531]],[[-0.]],80,[[ 0.08522594]],[[-0.01028787]],[[ 0.36473502]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.08522596]],[[ 0.01029797]],[[ 0.03531773]],[[-0.00102541]],[[ 0.00881646]],[[ 0.01274458]],[[ 0.]],[[ 0.]],[[ 0.86251371]],[[ 0.19114429]],[[-0.]],80,[[ 0.08522596]],[[-0.01029797]],[[ 0.36468227]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.08522582]],[[ 0.01030402]],[[ 0.03535829]],[[-0.00100284]],[[ 0.00863808]],[[ 0.01224356]],[[ 0.]],[[ 0.]],[[ 0.86228657]],[[ 0.18942095]],[[-0.]],80,[[ 0.08522582]],[[-0.01030402]],[[ 0.36464171]]
-0.0852,0.0101,0.0349,0.0380481776935,[[-0.08522557]],[[ 0.01030717]],[[ 0.03538821]],[[-0.00098098]],[[ 0.00846105]],[[ 0.01171016]],[[ 0.]],[[ 0.]],[[ 0.86206558]],[[ 0.18768213]],[[-0.]],80,[[ 0.08522557]],[[-0.01030717]],[[ 0.36461179]]
-0.0847,0.01,0.0544,0.0380481776935,[[-0.08508213]],[[ 0.01027963]],[[ 0.03851432]],[[-0.00066167]],[[ 0.00822738]],[[ 0.0290576]],[[ 0.]],[[ 0.]],[[ 0.85743796]],[[ 0.18507011]],[[-0.]],80,[[ 0.08508213]],[[-0.01027963]],[[ 0.36148568]]
-0.0847,0.01,0.0544,0.0380481776935,[[-0.08497759]],[[ 0.01025843]],[[ 0.04128769]],[[-0.00043472]],[[ 0.00801611]],[[ 0.04337097]],[[ 0.]],[[ 0.]],[[ 0.85412319]],[[ 0.18274535]],[[-0.]],80,[[ 0.08497759]],[[-0.01025843]],[[ 0.35871231]]
-0.0847,0.01,0.0544,0.0380481776935,[[-0.08490142]],[[ 0.01024189]],[[ 0.0437394]],[[-0.00027354]],[[ 0.00782254]],[[ 0.05500466]],[[ 0.]],[[ 0.]],[[ 0.85174959]],[[ 0.18064426]],[[-0.]],80,[[ 0.08490142]],[[-0.01024189]],[[ 0.3562606]]
-0.0847,0.01,0.0544,0.0380481776935,[[-0.08484592]],[[ 0.01022879]],[[ 0.04589839]],[[-0.00015919]],[[ 0.00764323]],[[ 0.06428025]],[[ 0.]],[[ 0.]],[[ 0.85005101]],[[ 0.17872028]],[[-0.]],80,[[ 0.08484592]],[[-0.01022879]],[[ 0.35410161]]
-0.0847,0.01,0.0544,0.0380481776935,[[-0.08480547]],[[ 0.01021824]],[[ 0.04779161]],[[ -7.82045862e-05]],[[ 0.00747567]],[[ 0.07148908]],[[ 0.]],[[ 0.]],[[ 0.84883676]],[[ 0.17693909]],[[-0.]],80,[[ 0.08480547]],[[-0.01021824]],[[ 0.35220839]]
-0.0847,0.01,0.0544,0.0380481776935,[[-0.084776]],[[ 0.01020959]],[[ 0.04944412]],[[ -2.10060810e-05]],[[ 0.00731794]],[[ 0.07689462]],[[ 0.]],[[ 0.]],[[ 0.8479701]],[[ 0.17527523]],[[-0.]],80,[[ 0.084776]],[[-0.01020959]],[[ 0.35055588]]
-0.0847,0.01,0.0544,0.0380481776935,[[-0.08475454]],[[ 0.01020234]],[[ 0.05087911]],[[  1.92399301e-05]],[[ 0.00716862]],[[ 0.08073463]],[[ 0.]],[[ 0.]],[[ 0.84735298]],[[ 0.17370961]],[[-0.]],80,[[ 0.08475454]],[[-0.01020234]],[[ 0.34912089]]
-0.0847,0.01,0.0544,0.0380481776935,[[-0.0847389]],[[ 0.01019617]],[[ 0.05211809]],[[  4.74018150e-05]],[[ 0.00702661]],[[ 0.08322322]],[[ 0.]],[[ 0.]],[[ 0.84691502]],[[ 0.17222781]],[[-0.]],80,[[ 0.0847389]],[[-0.01019617]],[[ 0.34788191]]
-0.0847,0.01,0.0544,0.0380481776935,[[-0.08472752]],[[ 0.01019079]],[[ 0.05318091]],[[  6.69511856e-05]],[[ 0.00689108]],[[ 0.08455267]],[[ 0.]],[[ 0.]],[[ 0.84660569]],[[ 0.17081874]],[[-0.]],80,[[ 0.08472752]],[[-0.01019079]],[[ 0.34681909]]
