x,y,z,yaw,vzcam,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.2552,0.0137,0.0541,0.00523598775598,0.230000219345,[[-0.25603253]],[[ 0.01309586]],[[ 0.04586084]],[[-0.00011724]],[[-0.00256246]],[[ 0.05707084]],[[ 0.00731929]],[[ 0.01800872]],[[ 2.5606582]],[[ 0.12407933]],0,[[ 73.71199909]],[[ 0.25592983]],[[-0.01496947]],[[ 0.35413916]]
-0.2552,0.0137,0.0541,0.00523598775598,0.230000219345,[[-0.25579179]],[[ 0.01325298]],[[ 0.04766317]],[[ 0.00050079]],[[-0.00209562]],[[ 0.06419587]],[[ 0.00720233]],[[ 0.01712237]],[[ 2.5520402]],[[ 0.12995744]],0,[[ 73.12313064]],[[ 0.2556897]],[[-0.01509492]],[[ 0.35233683]]
-0.2552,0.0137,0.0541,0.00523598775598,0.230000219345,[[-0.25561682]],[[ 0.01336757]],[[ 0.04923419]],[[ 0.0009243]],[[-0.00175785]],[[ 0.0695654]],[[ 0.00709556]],[[ 0.016315]],[[ 2.5460373]],[[ 0.13416598]],0,[[ 72.66871256]],[[ 0.25551554]],[[-0.01518096]],[[ 0.35076581]]
-0.2555,0.0136,0.0541,0.0198967534727,0.0,[[-0.25557647]],[[ 0.01342228]],[[ 0.05059742]],[[ 0.00099996]],[[-0.00158203]],[[ 0.07342091]],[[ 0.00888816]],[[ 0.02092373]],[[ 2.54461223]],[[ 0.14102464]],0,[[ 72.33066526]],[[ 0.25544708]],[[-0.01569332]],[[ 0.34940258]]
-0.2555,0.0136,0.0541,0.0198967534727,0.0,[[-0.25554728]],[[ 0.01346233]],[[ 0.05177426]],[[ 0.00104554]],[[-0.00144933]],[[ 0.07597581]],[[ 0.01047832]],[[ 0.02472969]],[[ 2.54361904]],[[ 0.14679039]],0,[[ 72.0929805]],[[ 0.2553922]],[[-0.01613925]],[[ 0.34822574]]
-0.2555,0.0136,0.0541,0.0198967534727,0.0,[[-0.25552621]],[[ 0.01349169]],[[ 0.05278414]],[[ 0.00107017]],[[-0.00134754]],[[ 0.07741896]],[[ 0.01188913]],[[ 0.02785614]],[[ 2.54293679]],[[ 0.15168478]],0,[[ 71.9414658]],[[ 0.25534775]],[[-0.01652865]],[[ 0.34721586]]
-0.2555,0.0136,0.0541,0.0198967534727,0.0,[[-0.25551105]],[[ 0.01351326]],[[ 0.05364477]],[[ 0.0010803]],[[-0.00126802]],[[ 0.07791757]],[[ 0.01314088]],[[ 0.0304071]],[[ 2.54247869]],[[ 0.15587539]],0,[[ 71.86353138]],[[ 0.25531142]],[[-0.01686964]],[[ 0.34635523]]
-0.2555,0.0136,0.0541,0.0198967534727,0.0,[[-0.25550017]],[[ 0.01352915]],[[ 0.05437229]],[[ 0.00108046]],[[-0.0012046]],[[ 0.07761964]],[[ 0.01425148]],[[ 0.03247045]],[[ 2.54218242]],[[ 0.15949037]],0,[[ 71.84801056]],[[ 0.25528142]],[[-0.01716891]],[[ 0.34562771]]
-0.2555,0.0136,0.0541,0.0198967534727,0.0,[[-0.25549242]],[[ 0.0135409]],[[ 0.05498137]],[[ 0.00107383]],[[-0.00115292]],[[ 0.07665607]],[[ 0.01523673]],[[ 0.03412059]],[[ 2.54200311]],[[ 0.16262894]],0,[[ 71.88500642]],[[ 0.25525645]],[[-0.01743204]],[[ 0.34501863]]
-0.2555,0.0136,0.0541,0.0198967534727,0.0,[[-0.25548693]],[[ 0.01354961]],[[ 0.0554854]],[[ 0.00106267]],[[-0.00110987]],[[ 0.07514244]],[[ 0.0161106]],[[ 0.03542056]],[[ 2.54190846]],[[ 0.16536882]],0,[[ 71.96575942]],[[ 0.25523549]],[[-0.01766372]],[[ 0.3445146]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25499645]],[[ 0.01249696]],[[ 0.0604989]],[[ 0.00206245]],[[-0.00327995]],[[ 0.09971403]],[[ 0.01806188]],[[ 0.03923026]],[[ 2.52726276]],[[ 0.1378372]],0,[[ 69.9950732]],[[ 0.25472915]],[[-0.01710038]],[[ 0.3395011]]
-0.2538,0.0099,0.083,0.0294960643587,0.418840544976,[[-0.25463964]],[[ 0.01173102]],[[ 0.06491955]],[[ 0.00274889]],[[-0.0047769]],[[ 0.11945061]],[[ 0.01979928]],[[ 0.04236784]],[[ 2.51703697]],[[ 0.11939694]],0,[[ 68.39248005]],[[ 0.25435748]],[[-0.01677008]],[[ 0.33508045]]
